[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] HEAD   /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] POST   /api/auth/register        --> main.main.Register.func4 (4 handlers)
[GIN-debug] POST   /api/auth/login           --> main.main.Login.func5 (4 handlers)
[GIN-debug] GET    /api/feeds                --> main.main.GetFeeds.func7 (5 handlers)
[GIN-debug] POST   /api/feeds                --> main.main.CreateFeed.func8 (5 handlers)
[GIN-debug] PUT    /api/feeds/:id            --> main.main.UpdateFeed.func9 (5 handlers)
[GIN-debug] DELETE /api/feeds/:id            --> main.main.DeleteFeed.func10 (5 handlers)
[GIN-debug] GET    /api/articles             --> main.main.GetArticles.func11 (5 handlers)
[GIN-debug] GET    /api/articles/search      --> main.main.SearchArticles.func12 (5 handlers)
[GIN-debug] GET    /api/articles/unread-count --> main.main.GetUnreadCount.func13 (5 handlers)
[GIN-debug] PATCH  /api/articles/:id/read    --> main.main.MarkArticleRead.func14 (5 handlers)
[GIN-debug] POST   /api/articles/mark-all-read --> main.main.MarkAllRead.func15 (5 handlers)
[GIN-debug] POST   /api/articles/:id/summary --> main.main.GenerateArticleSummary.func16 (5 handlers)
[GIN-debug] GET    /api/articles/:id/summary --> main.main.GetArticleSummary.func17 (5 handlers)
[GIN-debug] GET    /api/tags                 --> main.main.GetTags.func18 (5 handlers)
[GIN-debug] POST   /api/tags                 --> main.main.CreateTag.func19 (5 handlers)
[GIN-debug] DELETE /api/tags/:id             --> main.main.DeleteTag.func20 (5 handlers)
[GIN-debug] POST   /api/articles/tags        --> main.main.AddArticleTag.func21 (5 handlers)
[GIN-debug] DELETE /api/articles/tags        --> main.main.RemoveArticleTag.func22 (5 handlers)
2026/03/09 18:01:22 Server starting on port 8080...
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/03/09 - 18:01:49 | 401 |     180.876µs |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:01:49 | 401 |      70.413µs |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:01:49 | 401 |      86.642µs |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:01:49 | 401 |      47.892µs |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:01:50 | 200 |    4.090731ms |   165.232.40.42 | GET      "/"
[GIN] 2026/03/09 - 18:01:57 | 200 |   81.013381ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/03/09 - 18:01:57 | 200 |    1.381245ms |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:01:57 | 200 |     947.722µs |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:01:57 | 200 |    21.14304ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:01:57 | 200 |   31.314886ms |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:02:18 | 200 | 19.158310368s |             ::1 | POST     "/api/articles/2824/summary"
[GIN] 2026/03/09 - 18:02:41 | 200 |   15.636082ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:02:41 | 200 |   20.772002ms |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:02:41 | 200 |   21.147826ms |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:02:41 | 200 |   40.779974ms |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:03:04 | 401 |      54.864µs |             ::1 | GET      "/api/articles/2824/summary"
[GIN] 2026/03/09 - 18:04:26 | 200 |    5.556317ms |             ::1 | PATCH    "/api/articles/2824/read"
[GIN] 2026/03/09 - 18:04:26 | 200 |    5.680933ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:13:29 | 200 |    4.101806ms |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:13:29 | 200 |    5.417901ms |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:13:29 | 200 |   21.688343ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:13:29 | 200 |   38.439852ms |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:13:50 | 200 |    2.545021ms |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:13:50 | 200 |     3.75055ms |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:13:50 | 200 |   23.474576ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:13:50 | 200 |   26.676395ms |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:15:22 | 200 |     128.483µs |             ::1 | GET      "/"
[GIN] 2026/03/09 - 18:15:45 | 200 |    2.459865ms |             ::1 | GET      "/api/feeds"
[GIN] 2026/03/09 - 18:15:45 | 200 |    7.890742ms |             ::1 | GET      "/api/tags"
[GIN] 2026/03/09 - 18:15:45 | 200 |   27.617457ms |             ::1 | GET      "/api/articles/unread-count"
[GIN] 2026/03/09 - 18:15:45 | 200 |   39.481406ms |             ::1 | GET      "/api/articles?page=1&page_size=20"
[GIN] 2026/03/09 - 18:22:25 | 200 |      89.603µs |   31.56.208.208 | GET      "/login"
